id товара;наименование;ссылка на товар;промо цена;регулярная цена;бренд
226343;Кофе Lebo Classic в зернах, 250г;https://online.metro-cc.ru/products/250g-kofe-lebo-classic-v-zernah;299;349;LEBO
215436;Кофе Lebo Classic Original жареный в зернах, 100г;https://online.metro-cc.ru/products/100g-kofe-lebo-original-zharenyy-v-zernah;129;154;LEBO CLASSIC
44435;Кофе Dallmayr Classic молотый, 250г;https://online.metro-cc.ru/products/dallmayr-classic-250-g;509;509;DALLMAYR
599071;Кофе Jardin Kenya Kilimanjaro растворимый сублимированный, 150г;https://online.metro-cc.ru/products/jardin-kenya-kilimanjaro-sublimirovannyj-150g;479;479;JARDIN
221903;Кофе в капсулах Carraro Intenso для кофемашин Nespresso 10шт, 55г;https://online.metro-cc.ru/products/10shtx55g-kofe-carraro-v-alyum-kapsulah-intenso;369;439;CARRARO
228241;Кофе Жокей Триумф растворимый, 75г;https://online.metro-cc.ru/products/75g-kofe-zhokey-triumf-rastvorimyy;207;207;ЖОКЕЙ
229165;Кофе Tchibo Gold selection молотый, 250г;https://online.metro-cc.ru/products/250g-kofe-tchibo-gold-selection-molotyy;279;329;TCHIBO
232415;Кофе Жокей триумф растворимый, 450г;https://online.metro-cc.ru/products/450g-kofe-zhokey-triumf-rastvorimyy;1 189;1 189;ЖОКЕЙ
117362;Кофе в капсулах L’or Espresso Delizioso для кофемашин Nespresso 10шт, 52г x 10 шт;https://online.metro-cc.ru/products/52g-l-rsquoor-espr-delizioso;3 990;3 990;L'OR
246092;Кофе Живой кофе Rio-Rio молотый, 200г;https://online.metro-cc.ru/products/200g-zhivoy-kofe-rio-rio-molotyy;299;399;ЖИВОЙ КОФЕ
616877;Кофе Egoiste Noir в зернах, 250г x 12 шт;https://online.metro-cc.ru/products/egoiste-noir-zernovoj-250g;8 028;8 028;EGOISTE
120511;RIOBA Кофе в капсулах Decaffeinato без кофеина для кофемашин Nespresso 11шт, 55г x 10 шт;https://online.metro-cc.ru/products/rioba-dlya-kofemashin-decaffein-11x5g-120511;2 790;2 790;RIOBA
243161;Кофе Живой кофе Rio-Rio Бразилия зерновой, 800г;https://online.metro-cc.ru/products/800g-zhivoy-kofe-rio-rio-braziliya-zerno;1 519;1 519;ЖИВОЙ КОФЕ
232419;Кофе Jardin Guatemala Atitlan растворимый, 190г;https://online.metro-cc.ru/products/190g-kofe-jardin-guatemala-atitlan-rastvorimyy-stb;449;819;JARDIN
624061;Кофе Жокей классический в зернах, 900г;https://online.metro-cc.ru/products/art-624061;1 499;1 499;ЖОКЕЙ
19743;Кофе Nescafe Gold Barista растворимый, 85г x 6 шт;https://online.metro-cc.ru/products/nescafe-gold-molotyj-v-rastvorimom-barista-85g;2 034;2 034;NESCAFE
31887;Кофе Bushido Kodo растворимый, 95г x 9 шт;https://online.metro-cc.ru/products/bushido-kodo-rastvorimyj-95g;8 901;8 901;BUSHIDO
246090;Кофе Живой кофе арабика зерновой, 800г;https://online.metro-cc.ru/products/kofe-zhivoy-kofe-arabika-zernovoy-800g;999;1 709;ЖИВОЙ КОФЕ
120486;RIOBA Кофе в капсулах Forte для кофемашин Nespresso 11шт, 55г x 10 шт;https://online.metro-cc.ru/products/rioba-dlya-kofemashin-forte-10x5g-120486;2 790;2 790;RIOBA
551816;Кофе Nescafe Classic Crema растворимый, 95г x 12 шт;https://online.metro-cc.ru/products/nescafe-classic-crema-95-g-;2 988;2 988;NESCAFE
120485;RIOBA Кофе в капсулах Delicato для кофемашин Nespresso 11шт, 55г x 10 шт;https://online.metro-cc.ru/products/rioba-dlya-kofemashin-delicato-10x5g-120485;2 790;2 790;RIOBA
302173;aro Кофе растворимый сублимированный, 80г x 2 шт;https://online.metro-cc.ru/products/aro-sublimirovannyj-80g-2-sht;318;318;ARO
31894;Кофе Egoiste Noir растворимый сублимированный, 100г х 12 шт;https://online.metro-cc.ru/products/carte-noire-egoist-rastvorimyj-sublimirovannyj-100-g;7 188;7 188;EGOISTE
29181;Кофе Nescafe Gold растворимый сублимированный с добавлением натурального жареного молотого кофе, 750г x 6 шт;https://online.metro-cc.ru/products/nescafe-gold-rastvorimyj-sublimirovannyj-750g;12 594;12 594;NESCAFE
120484;RIOBA Кофе в капсулах Intenso для кофемашин Nespresso 11шт, 55г x 10 шт;https://online.metro-cc.ru/products/rioba-dlya-kofemashin-intenso-11x5g-120484;2 790;2 790;RIOBA
459854;Кофе Jardin Guatemala Atitlan растворимый, 150г;https://online.metro-cc.ru/products/jardin-guatemala-atitlan-150g;479;479;JARDIN
31895;Кофе Egoiste Arabica Premium натуральный жареный в зернах, 1кг x 4 шт;https://online.metro-cc.ru/products/v-zernah-egoiste-noir-100-arabika-1kg;8 396;8 396;EGOISTE
616876;Кофе Egoiste Noir молотый, 250г x 12 шт;https://online.metro-cc.ru/products/egoiste-noir-250g;8 028;8 028;EGOISTE
240370;Кофе в капсулах Monarch Espresso 10 Intenso для кофемашин Nespresso 10шт, 52г;https://online.metro-cc.ru/products/10shth52g-kofe-monarch-espresso-10-intenso-molotyy-kapsuly;299;339;MONARCH
117387;Набор кофе в капсулах Coffesso для кофемашин Nespresso ассорти 50шт, 250г x 6 шт;https://online.metro-cc.ru/products/50h5g-coffesso-nabor;6 594;6 594;COFFESSO
120512;Кофе в капсулах L’or Espresso Forza для кофемашин Nespresso 10шт, 52г x 10 шт;https://online.metro-cc.ru/products/v-alyuminievyh-l-rsquoor-espresso-forza-10-shtuk-po-52-g;3 990;3 990;L'OR
247918;Кофе Poetti Professional Aroma Vending зерновой, 1кг;https://online.metro-cc.ru/products/1kg-kofe-poetti-professional-aroma-vending-zernovoy;1 279;1 279;POETTI
117382;Кофе в капсулах L’or Espresso Ristretto для кофемашин Nespresso 10шт, 52г x 10 шт;https://online.metro-cc.ru/products/52g-l-rsquoor-ristretto;3 990;3 990;L'OR
240369;Кофе в капсулах Monarch Lungo 8 Intenso для кофемашин Nespresso 10шт, 52г;https://online.metro-cc.ru/products/10shth52g-kofe-monarch-lungo-8-intenso-molotyy-kapsuly;299;369;MONARCH
117381;Кофе в капсулах L’or Espresso Splendente для кофемашин Nespresso 10шт, 52г x 10 шт;https://online.metro-cc.ru/products/52g-l-rsquoor-espr-splendent;3 990;3 990;L'OR
240369;Кофе в капсулах Monarch Lungo 8 Intenso для кофемашин Nespresso 10шт, 52г;https://online.metro-cc.ru/products/10shth52g-kofe-monarch-lungo-8-intenso-molotyy-kapsuly;299;369;MONARCH
